,Precinct Name,In Person,Absentee,Provisional,Totals,,Curbside,County
13,601 - CHILESBURG,994,0,0,994,,3,CAROLINE COUNTY
14,602 - LAKE,678,0,0,678,,4,CAROLINE COUNTY
1,# Central Absentee,0,635,0,635,,8,CARROLL COUNTY
2,## Provisional,0,0,12,12,,0,CARROLL COUNTY
3,101 - MT BETHEL,400,0,0,400,,2,CARROLL COUNTY
4,102 - ST PAUL,588,0,0,588,,7,CARROLL COUNTY
5,103 - LAMBSBURG,325,0,0,325,,0,CARROLL COUNTY
6,105 - FANCY GAP,548,0,0,548,,2,CARROLL COUNTY
7,201 - HILLSVILLE B,1152,0,0,1152,,4,CARROLL COUNTY
8,202 - LAUREL FORK,400,0,0,400,,0,CARROLL COUNTY
9,203 - GLADESBORO,591,0,0,591,,0,CARROLL COUNTY
10,301 - HILLSVILLE C,1222,0,0,1222,,5,CARROLL COUNTY
11,302 - SYLVATUS,469,0,0,469,,3,CARROLL COUNTY
12,303 - DUGSPUR,282,0,0,282,,0,CARROLL COUNTY
13,401 - OAKLAND,918,0,0,918,,7,CARROLL COUNTY
14,402 - WOODLAWN D,945,0,0,945,,3,CARROLL COUNTY
15,406 - WOODLAWN F,162,0,0,162,,2,CARROLL COUNTY
16,501 - VAUGHAN,329,0,0,329,,2,CARROLL COUNTY
17,502 - GLADEVILLE,817,0,0,817,,0,CARROLL COUNTY
18,503 - WOODLAWN E,417,0,0,417,,1,CARROLL COUNTY
19,504 - LAUREL,472,0,0,472,,1,CARROLL COUNTY
1,# Central Absentee,0,353,0,353,,0,CHARLES CITY COUNTY
2,## Provisional,0,0,3,3,,0,CHARLES CITY COUNTY
3,101 - PRECINCT 1-1,1004,0,0,1004,,12,CHARLES CITY COUNTY
4,201 - PRECINCT 2-1,960,0,0,960,,24,CHARLES CITY COUNTY
5,301 - PRECINCT 3-1,1037,0,0,1037,,12,CHARLES CITY COUNTY
1,# Central Absentee,0,259,0,259,,0,CHARLOTTE COUNTY
2,## Provisional,0,0,1,1,,0,CHARLOTTE COUNTY
3,101 - COUNTY SEAT,711,0,0,711,,0,CHARLOTTE COUNTY
4,201 - RED OAK WYLLIESBURG,675,0,0,675,,0,CHARLOTTE COUNTY
5,302 - DRAKES BRANCH,547,0,0,547,,0,CHARLOTTE COUNTY
6,401 - KEYSVILLE,690,0,0,690,,0,CHARLOTTE COUNTY
7,501 - CULLEN/RED HOUSE,598,0,0,598,,0,CHARLOTTE COUNTY
8,602 - PHENIX,700,0,0,700,,0,CHARLOTTE COUNTY
9,702 - BACON/SAXE,577,0,0,577,,0,CHARLOTTE COUNTY
1,# Central Absentee,0,2655,0,2655,,0,CHARLOTTESVILLE CITY
2,## Provisional,0,0,128,128,,0,CHARLOTTESVILLE CITY
3,101 - RECREATION,2372,0,0,2372,,0,CHARLOTTESVILLE CITY
4,102 - CLARK,2268,0,0,2268,,4,CHARLOTTESVILLE CITY
5,201 - CARVER,2008,0,0,2008,,14,CHARLOTTESVILLE CITY
6,202 - WALKER,2633,0,0,2633,,8,CHARLOTTESVILLE CITY
7,301 - BENJAMIN TONSLER,1943,0,0,1943,,34,CHARLOTTESVILLE CITY
8,302 - JOHNSON,2603,0,0,2603,,16,CHARLOTTESVILLE CITY
9,303 - BUFORD,1334,0,0,1334,,1,CHARLOTTESVILLE CITY
10,401 - VENABLE,1258,0,0,1258,,1,CHARLOTTESVILLE CITY
11,402 - ALUMNI HALL,1496,0,0,1496,,0,CHARLOTTESVILLE CITY
1,# Central Absentee,0,6459,0,6459,,28,CHESAPEAKE CITY
2,## Provisional,0,0,282,282,,0,CHESAPEAKE CITY
3,001 - GREAT BRIDGE,1438,0,0,1438,,8,CHESAPEAKE CITY
4,002 - BETHEL,1416,0,0,1416,,2,CHESAPEAKE CITY
5,003 - CAMELOT,1821,0,0,1821,,59,CHESAPEAKE CITY
6,004 - CHURCHLAND,1185,0,0,1185,,5,CHESAPEAKE CITY
7,005 - CRESTWOOD,1459,0,0,1459,,36,CHESAPEAKE CITY
8,006 - DEEP CREEK,2596,0,0,2596,,21,CHESAPEAKE CITY
9,007 - GREENBRIER,1727,0,0,1727,,8,CHESAPEAKE CITY
10,008 - SOUTH NORFOLK RECREATION,1528,0,0,1528,,8,CHESAPEAKE CITY
11,009 - BELLS MILL,2678,0,0,2678,,24,CHESAPEAKE CITY
12,010 - OSCAR SMITH,701,0,0,701,,5,CHESAPEAKE CITY
13,011 - GENEVA PARK,1055,0,0,1055,,14,CHESAPEAKE CITY
14,012 - GEORGETOWN,1324,0,0,1324,,10,CHESAPEAKE CITY
15,013 - GILMERTON,1255,0,0,1255,,4,CHESAPEAKE CITY
16,014 - GRASSFIELD,491,0,0,491,,0,CHESAPEAKE CITY
17,015 - B M WILLIAMS,1322,0,0,1322,,17,CHESAPEAKE CITY
18,016 - HICKORY GROVE,1603,0,0,1603,,4,CHESAPEAKE CITY
19,017 - INDIAN CREEK,1063,0,0,1063,,3,CHESAPEAKE CITY
20,018 - INDIAN RIVER,1035,0,0,1035,,8,CHESAPEAKE CITY
21,019 - JOLLIFF,1035,0,0,1035,,5,CHESAPEAKE CITY
22,020 - E W CHITTUM,1723,0,0,1723,,14,CHESAPEAKE CITY
23,021 - FELLOWSHIP,1520,0,0,1520,,2,CHESAPEAKE CITY
24,022 - NORFOLK HIGHLANDS,873,0,0,873,,6,CHESAPEAKE CITY
25,023 - OAK GROVE,1573,0,0,1573,,48,CHESAPEAKE CITY
26,024 - OAKLETTE,1244,0,0,1244,,9,CHESAPEAKE CITY
27,025 - ST JULIANS,691,0,0,691,,2,CHESAPEAKE CITY
28,026 - JOHNSON PARK,650,0,0,650,,1,CHESAPEAKE CITY
29,027 - SILVERWOOD,1790,0,0,1790,,21,CHESAPEAKE CITY
30,028 - SUNRAY I,243,0,0,243,,0,CHESAPEAKE CITY
31,029 - TANGLEWOOD,1133,0,0,1133,,15,CHESAPEAKE CITY
32,030 - SOUTH NORFOLK,658,0,0,658,,8,CHESAPEAKE CITY
33,031 - CARVER SCHOOL,1498,0,0,1498,,89,CHESAPEAKE CITY
34,032 - PROVIDENCE,1708,0,0,1708,,70,CHESAPEAKE CITY
35,033 - WESTOVER,814,0,0,814,,6,CHESAPEAKE CITY
36,034 - HICKORY MIDDLE SCHOOL,2085,0,0,2085,,5,CHESAPEAKE CITY
37,035 - TAYLOR ROAD,967,0,0,967,,0,CHESAPEAKE CITY
38,036 - GREAT BRIDGE BAPTIST CHURCH,2335,0,0,2335,,10,CHESAPEAKE CITY
39,037 - BRIDGETOWN,1247,0,0,1247,,3,CHESAPEAKE CITY
40,038 - BAILEY CREEK,1285,0,0,1285,,5,CHESAPEAKE CITY
41,039 - LAKE DRUMMOND,598,0,0,598,,2,CHESAPEAKE CITY
42,040 - RIVER BIRCH,1884,0,0,1884,,0,CHESAPEAKE CITY
43,041 - JOHN T WEST,2304,0,0,2304,,17,CHESAPEAKE CITY
44,042 - PARKWAYS,1269,0,0,1269,,7,CHESAPEAKE CITY
45,043 - PLEASANT CROSSING,1249,0,0,1249,,6,CHESAPEAKE CITY
46,044 - NANSEMOND,1153,0,0,1153,,2,CHESAPEAKE CITY
47,045 - SUNRAY II,576,0,0,576,,6,CHESAPEAKE CITY
48,046 - BELLS MILL II,1299,0,0,1299,,2,CHESAPEAKE CITY
49,047 - GREEN SEA,778,0,0,778,,1,CHESAPEAKE CITY
50,048 - JOLLIFF MIDDLE SCHOOL,1619,0,0,1619,,52,CHESAPEAKE CITY
51,049 - WATERWAY,2713,0,0,2713,,27,CHESAPEAKE CITY
52,050 - RIVER WALK,1512,0,0,1512,,9,CHESAPEAKE CITY
53,051 - COOPERS WAY,1724,0,0,1724,,2,CHESAPEAKE CITY
54,052 - SHIPYARD ROAD,1565,0,0,1565,,9,CHESAPEAKE CITY
55,053 - FAIRWAYS,1039,0,0,1039,,3,CHESAPEAKE CITY
56,054 - PUGHSVILLE,1379,0,0,1379,,5,CHESAPEAKE CITY
57,055 - GEORGETOWN EAST,1082,0,0,1082,,14,CHESAPEAKE CITY
58,056 - GREEN TREE,1165,0,0,1165,,6,CHESAPEAKE CITY
59,057 - CYPRESS,1372,0,0,1372,,14,CHESAPEAKE CITY
60,058 - EXPRESSWAY,599,0,0,599,,10,CHESAPEAKE CITY
61,059 - CLEARFIELD,1129,0,0,1129,,4,CHESAPEAKE CITY
62,060 - PARKER ROAD,1913,0,0,1913,,7,CHESAPEAKE CITY
63,061 - CENTERVILLE,1264,0,0,1264,,1,CHESAPEAKE CITY
64,062 - FENTRESS,1556,0,0,1556,,8,CHESAPEAKE CITY
65,063 - POPLAR BRANCH,993,0,0,993,,10,CHESAPEAKE CITY
1,# Central Absentee,0,11821,0,11821,,0,CHESTERFIELD COUNTY
2,## Provisional,0,0,483,483,,0,CHESTERFIELD COUNTY
3,101 - BELLWOOD,1126,0,0,1126,,13,CHESTERFIELD COUNTY
4,102 - SOUTH CHESTER,1795,0,0,1795,,34,CHESTERFIELD COUNTY
5,103 - ENON,2344,0,0,2344,,93,CHESTERFIELD COUNTY
6,104 - NORTH CHESTER,2124,0,0,2124,,53,CHESTERFIELD COUNTY
7,105 - DREWRYS BLUFF,1326,0,0,1326,,30,CHESTERFIELD COUNTY
8,106 - HARROWGATE,2643,0,0,2643,,127,CHESTERFIELD COUNTY
9,107 - WELLS,1789,0,0,1789,,63,CHESTERFIELD COUNTY
10,108 - ECOFF,2612,0,0,2612,,127,CHESTERFIELD COUNTY
11,109 - ELIZABETH SCOTT,2857,0,0,2857,,61,CHESTERFIELD COUNTY
12,110 - DUTCH GAP,1306,0,0,1306,,0,CHESTERFIELD COUNTY
13,111 - IRON BRIDGE,3055,0,0,3055,,205,CHESTERFIELD COUNTY
14,112 - CARVER,1685,0,0,1685,,46,CHESTERFIELD COUNTY
15,201 - GATES,1482,0,0,1482,,61,CHESTERFIELD COUNTY
16,202 - BEULAH,2239,0,0,2239,,37,CHESTERFIELD COUNTY
17,203 - BIRD,568,0,0,568,,0,CHESTERFIELD COUNTY
18,204 - JACOBS,1296,0,0,1296,,6,CHESTERFIELD COUNTY
19,205 - FALLING CREEK,2105,0,0,2105,,49,CHESTERFIELD COUNTY
20,206 - BELMONT,1227,0,0,1227,,19,CHESTERFIELD COUNTY
21,207 - CHIPPENHAM,690,0,0,690,,30,CHESTERFIELD COUNTY
22,208 - MEADOWBROOK,1824,0,0,1824,,125,CHESTERFIELD COUNTY
23,209 - SALEM CHURCH,2201,0,0,2201,,68,CHESTERFIELD COUNTY
24,210 - FIVE FORKS,2645,0,0,2645,,47,CHESTERFIELD COUNTY
25,211 - NASH,2758,0,0,2758,,0,CHESTERFIELD COUNTY
26,212 - ST. LUKE'S,1168,0,0,1168,,21,CHESTERFIELD COUNTY
27,213 - SOUTHSIDE,3053,0,0,3053,,78,CHESTERFIELD COUNTY
28,214 - HOPKINS,264,0,0,264,,0,CHESTERFIELD COUNTY
29,215 - North Bird,779,0,0,779,,0,CHESTERFIELD COUNTY
30,301 - ETTRICK,2229,0,0,2229,,106,CHESTERFIELD COUNTY
31,302 - DEER RUN,862,0,0,862,,0,CHESTERFIELD COUNTY
32,303 - MATOACA,2341,0,0,2341,,66,CHESTERFIELD COUNTY
33,304 - WINFREES STORE,2459,0,0,2459,,5,CHESTERFIELD COUNTY
34,305 - BEACH,820,0,0,820,,8,CHESTERFIELD COUNTY
35,306 - WINTERPOCK,2434,0,0,2434,,86,CHESTERFIELD COUNTY
36,307 - COSBY,2956,0,0,2956,,0,CHESTERFIELD COUNTY
37,308 - SOUTH MANCHESTER,771,0,0,771,,13,CHESTERFIELD COUNTY
38,309 - SKINQUARTER,3703,0,0,3703,,97,CHESTERFIELD COUNTY
39,310 - TOMAHAWK,2183,0,0,2183,,52,CHESTERFIELD COUNTY
40,313 - WOOLRIDGE,2958,0,0,2958,,24,CHESTERFIELD COUNTY
41,315 - BAILEY BRIDGE,2185,0,0,2185,,29,CHESTERFIELD COUNTY
42,316 - SPRING RUN,1996,0,0,1996,,17,CHESTERFIELD COUNTY
43,317 - BIRKDALE,2611,0,0,2611,,214,CHESTERFIELD COUNTY
44,318 - WEST BEACH,745,0,0,745,,1,CHESTERFIELD COUNTY
45,401 - HARBOUR POINTE,1435,0,0,1435,,38,CHESTERFIELD COUNTY
46,402 - GENITO,2957,0,0,2957,,100,CHESTERFIELD COUNTY
47,403 - BRANDERMILL,2329,0,0,2329,,0,CHESTERFIELD COUNTY
48,404 - PROVIDENCE,1876,0,0,1876,,83,CHESTERFIELD COUNTY
49,405 - LA PRADE,2133,0,0,2133,,61,CHESTERFIELD COUNTY
50,406 - SMOKETREE,1836,0,0,1836,,7,CHESTERFIELD COUNTY
51,407 - MONACAN,1255,0,0,1255,,22,CHESTERFIELD COUNTY
52,408 - REAMS,2732,0,0,2732,,98,CHESTERFIELD COUNTY
53,409 - MANCHESTER,1120,0,0,1120,,15,CHESTERFIELD COUNTY
54,410 - WAGSTAFF,1240,0,0,1240,,40,CHESTERFIELD COUNTY
55,411 - SWIFT CREEK,2118,0,0,2118,,94,CHESTERFIELD COUNTY
56,413 - SHENANDOAH,1849,0,0,1849,,33,CHESTERFIELD COUNTY
57,414 - CRENSHAW,2841,0,0,2841,,36,CHESTERFIELD COUNTY
58,415 - EVERGREEN,2197,0,0,2197,,22,CHESTERFIELD COUNTY
59,416 - EVERGREEN WEST,1113,0,0,1113,,0,CHESTERFIELD COUNTY
60,417 - EDGEWATER,1125,0,0,1125,,11,CHESTERFIELD COUNTY
61,501 - HUGUENOT,1489,0,0,1489,,71,CHESTERFIELD COUNTY
62,502 - CRESTWOOD,1134,0,0,1134,,0,CHESTERFIELD COUNTY
63,503 - MIDLOTHIAN,2103,0,0,2103,,141,CHESTERFIELD COUNTY
64,504 - ROBIOUS,3189,0,0,3189,,115,CHESTERFIELD COUNTY
65,505 - BON AIR,2249,0,0,2249,,0,CHESTERFIELD COUNTY
66,506 - GREENFIELD,2075,0,0,2075,,24,CHESTERFIELD COUNTY
67,507 - SALISBURY,2868,0,0,2868,,68,CHESTERFIELD COUNTY
68,508 - BELGRADE,1885,0,0,1885,,239,CHESTERFIELD COUNTY
69,509 - CRANBECK,1418,0,0,1418,,12,CHESTERFIELD COUNTY
70,510 - SYCAMORE,2239,0,0,2239,,50,CHESTERFIELD COUNTY
71,511 - BLACK HEATH,1521,0,0,1521,,1,CHESTERFIELD COUNTY
72,513 - BEAUFONT,956,0,0,956,,0,CHESTERFIELD COUNTY
73,514 - WATKINS,2502,0,0,2502,,32,CHESTERFIELD COUNTY
74,515 - DAVIS,1691,0,0,1691,,23,CHESTERFIELD COUNTY
75,516 - POCOSHOCK,1103,0,0,1103,,16,CHESTERFIELD COUNTY
76,517 - ROSELAND,1063,0,0,1063,,2,CHESTERFIELD COUNTY
77,518 - MIDLOTHIAN NORTH,2499,0,0,2499,,10,CHESTERFIELD COUNTY
1,# Central Absentee,0,786,0,786,,0,CLARKE COUNTY
2,## Provisional,0,0,8,8,,0,CLARKE COUNTY
3,101 - RUSSELL,1344,0,0,1344,,17,CLARKE COUNTY
4,201 - BERRYVILLE,1126,0,0,1126,,5,CLARKE COUNTY
5,301 - MILLWOOD,982,0,0,982,,7,CLARKE COUNTY
6,302 - PINE GROVE,429,0,0,429,,0,CLARKE COUNTY
7,401 - WHITE POST,1283,0,0,1283,,4,CLARKE COUNTY
8,501 - BUCKMARSH,908,0,0,908,,7,CLARKE COUNTY
9,502 - BLUE RIDGE,365,0,0,365,,0,CLARKE COUNTY
1,# Central Absentee,0,639,0,639,,0,COLONIAL HEIGHTS CITY
2,## Provisional,0,0,3,3,,0,COLONIAL HEIGHTS CITY
3,001 - FIRST,859,0,0,859,,0,COLONIAL HEIGHTS CITY
4,002 - SECOND,918,0,0,918,,5,COLONIAL HEIGHTS CITY
5,003 - THIRD,1158,0,0,1158,,3,COLONIAL HEIGHTS CITY
6,004 - FOURTH,1412,0,0,1412,,10,COLONIAL HEIGHTS CITY
7,005 - FIFTH,1457,0,0,1457,,2,COLONIAL HEIGHTS CITY
1,# Central Absentee,0,84,0,84,,1,COVINGTON CITY
2,101 - PRECINCT 1-1,285,0,0,285,,0,COVINGTON CITY
3,201 - PRECINCT 2-1,317,0,0,317,,0,COVINGTON CITY
4,301 - PRECINCT 3-1,276,0,0,276,,2,COVINGTON CITY
5,401 - PRECINCT 4-1,419,0,0,419,,0,COVINGTON CITY
6,501 - PRECINCT 5-1,402,0,0,402,,0,COVINGTON CITY
1,## Provisional,0,0,1,1,,0,CRAIG COUNTY
2,101 - COURT HOUSE,363,18,0,381,,0,CRAIG COUNTY
3,201 - AMMENDALE PRECINCT,465,33,0,498,,2,CRAIG COUNTY
4,301 - GIVENS & REYNOLDS STORE,273,12,0,285,,2,CRAIG COUNTY
5,303 - MARSHALLS STORE,212,25,0,237,,0,CRAIG COUNTY
6,401 - BARBOURS CREEK,196,3,0,199,,0,CRAIG COUNTY
7,402 - PAINT BANK,36,3,0,39,,0,CRAIG COUNTY
8,403 - CRAIG SPRINGS,179,15,0,194,,0,CRAIG COUNTY
9,501 - CRAIG CITY,354,20,0,374,,0,CRAIG COUNTY
1,# Central Absentee,0,1630,0,1630,,3,CULPEPER COUNTY
2,## Provisional,0,0,21,21,,0,CULPEPER COUNTY
3,101 - WEST FAIRFAX,2202,0,0,2202,,6,CULPEPER COUNTY
4,201 - EAST FAIRFAX,1922,0,0,1922,,6,CULPEPER COUNTY
5,302 - EGGBORNSVILLE,1091,0,0,1091,,3,CULPEPER COUNTY
6,303 - CARDOVA,866,0,0,866,,3,CULPEPER COUNTY
7,304 - WILLOW SHADE,419,0,0,419,,3,CULPEPER COUNTY
8,401 - ELDORADO,1176,0,0,1176,,5,CULPEPER COUNTY
9,402 - BROWNS STORE,1901,0,0,1901,,5,CULPEPER COUNTY
10,501 - JEFFERSONTON,1615,0,0,1615,,5,CULPEPER COUNTY
11,502 - RIXEYVILLE,1472,0,0,1472,,0,CULPEPER COUNTY
12,601 - MITCHELLS,268,0,0,268,,2,CULPEPER COUNTY
13,602 - PEARL SAMPLE,1701,0,0,1701,,4,CULPEPER COUNTY
14,603 - SOUTH RIDGE,518,0,0,518,,3,CULPEPER COUNTY
15,702 - BRANDY STATION,1584,0,0,1584,,3,CULPEPER COUNTY
16,703 - LIGNUM,752,0,0,752,,0,CULPEPER COUNTY
17,704 - RICHARDSVILLE,392,0,0,392,,0,CULPEPER COUNTY
1,# Central Absentee,0,299,0,299,,0,CUMBERLAND COUNTY
2,## Provisional,0,0,5,5,,0,CUMBERLAND COUNTY
3,101 - PRECINCT 1,865,0,0,865,,0,CUMBERLAND COUNTY
4,201 - PRECINCT 2,832,0,0,832,,0,CUMBERLAND COUNTY
5,301 - PRECINCT 3,763,0,0,763,,0,CUMBERLAND COUNTY
6,401 - PRECINCT 4,797,0,0,797,,0,CUMBERLAND COUNTY
7,501 - PRECINCT 5,682,0,0,682,,0,CUMBERLAND COUNTY
1,# Central Absentee,0,976,0,976,,1,DANVILLE CITY
2,## Provisional,0,0,9,9,,0,DANVILLE CITY
3,001 - WARD ONE,407,0,0,407,,6,DANVILLE CITY
4,002 - WARD TWO,444,0,0,444,,9,DANVILLE CITY
5,003 - WARD THREE,906,0,0,906,,7,DANVILLE CITY
6,004 - WARD FOUR,1537,0,0,1537,,6,DANVILLE CITY
7,006 - WARD SIX,418,0,0,418,,2,DANVILLE CITY
8,007 - WARD SEVEN,751,0,0,751,,9,DANVILLE CITY
9,008 - WARD EIGHT,732,0,0,732,,5,DANVILLE CITY
10,009 - WARD NINE,663,0,0,663,,4,DANVILLE CITY
11,010 - WARD TEN,917,0,0,917,,6,DANVILLE CITY
12,011 - WARD ELEVEN,1266,0,0,1266,,9,DANVILLE CITY
13,012 - WARD TWELVE,1381,0,0,1381,,5,DANVILLE CITY
14,013 - WARD THIRTEEN,1171,0,0,1171,,5,DANVILLE CITY
15,014 - WARD FOURTEEN,196,0,0,196,,5,DANVILLE CITY
16,015 - WARD FIFTEEN,1068,0,0,1068,,4,DANVILLE CITY
17,016 - WARD SIXTEEN,1223,0,0,1223,,4,DANVILLE CITY
18,017 - WARD SEVENTEEN,1138,0,0,1138,,3,DANVILLE CITY
1,# Central Absentee,0,491,0,491,,8,DICKENSON COUNTY
2,## Provisional,0,0,3,3,,0,DICKENSON COUNTY
3,101 - SOUTH CLINTWOOD,856,0,0,856,,3,DICKENSON COUNTY
4,201 - NORA,256,0,0,256,,2,DICKENSON COUNTY
5,202 - FRYING PAN,122,0,0,122,,1,DICKENSON COUNTY
6,203 - CLINCHCO,395,0,0,395,,2,DICKENSON COUNTY
7,301 - WEST DANTE,162,0,0,162,,0,DICKENSON COUNTY
8,302 - HERALD,255,0,0,255,,1,DICKENSON COUNTY
9,303 - RIDGE,427,0,0,427,,5,DICKENSON COUNTY
10,401 - HAYSI-COLLEY,695,0,0,695,,4,DICKENSON COUNTY
11,501 - TARPON,220,0,0,220,,0,DICKENSON COUNTY
12,502 - NORTH CLINTWOOD,663,0,0,663,,0,DICKENSON COUNTY
1,# Central Absentee,0,826,0,826,,4,DINWIDDIE COUNTY
2,## Provisional,0,0,1,1,,0,DINWIDDIE COUNTY
3,101 - WHITE OAK,418,0,0,418,,0,DINWIDDIE COUNTY
4,102 - ROCKY RUN,613,0,0,613,,0,DINWIDDIE COUNTY
5,103 - CHURCH ROAD,988,0,0,988,,0,DINWIDDIE COUNTY
6,201 - ROHOIC,548,0,0,548,,0,DINWIDDIE COUNTY
7,202 - SUTHERLAND,1434,0,0,1434,,0,DINWIDDIE COUNTY
8,301 - REAMS,434,0,0,434,,0,DINWIDDIE COUNTY
9,302 - NEW HOPE,703,0,0,703,,0,DINWIDDIE COUNTY
10,303 - LITTLE ZION,983,0,0,983,,4,DINWIDDIE COUNTY
11,401 - DINWIDDIE,1021,0,0,1021,,0,DINWIDDIE COUNTY
12,402 - MCKENNEY,572,0,0,572,,0,DINWIDDIE COUNTY
13,403 - CHERRY HILL,417,0,0,417,,0,DINWIDDIE COUNTY
14,501 - EDGEHILL,193,0,0,193,,0,DINWIDDIE COUNTY
15,502 - CHESDIN,1445,0,0,1445,,0,DINWIDDIE COUNTY
1,# Central Absentee,0,76,0,76,,0,EMPORIA CITY
2,## Provisional,0,0,1,1,,0,EMPORIA CITY
3,101 - PRECINCT 1-1,306,0,0,306,,0,EMPORIA CITY
4,201 - PRECINCT 2-1,192,0,0,192,,0,EMPORIA CITY
5,301 - PRECINCT 3-1,246,0,0,246,,0,EMPORIA CITY
6,401 - PRECINCT 4-1,315,0,0,315,,1,EMPORIA CITY
7,501 - PRECINCT 5-1,183,0,0,183,,0,EMPORIA CITY
8,601 - DISTRICT 6,283,0,0,283,,0,EMPORIA CITY
9,701 - DISTRICT 7,200,0,0,200,,0,EMPORIA CITY
1,# Central Absentee,0,408,0,408,,3,ESSEX COUNTY
2,## Provisional,0,0,11,11,,0,ESSEX COUNTY
3,101 - GREATER TAPPAHANNOCK,907,0,0,907,,0,ESSEX COUNTY
4,201 - NORTH,949,0,0,949,,0,ESSEX COUNTY
5,301 - SOUTH,1134,0,0,1134,,3,ESSEX COUNTY
6,401 - CENTRAL,1046,0,0,1046,,3,ESSEX COUNTY
1,# Central Absentee,0,1615,0,1615,,7,FAIRFAX CITY
2,## Provisional,0,0,24,24,,0,FAIRFAX CITY
3,001 - ONE,1427,0,0,1427,,3,FAIRFAX CITY
4,002 - TWO,1420,0,0,1420,,6,FAIRFAX CITY
5,003 - THREE,1932,0,0,1932,,0,FAIRFAX CITY
6,004 - FOUR,1544,0,0,1544,,4,FAIRFAX CITY
7,005 - FIVE,1348,0,0,1348,,6,FAIRFAX CITY
8,006 - SIX,1336,0,0,1336,,0,FAIRFAX CITY
1,# Central Absentee,0,77886,0,77886,,648,FAIRFAX COUNTY
2,## Provisional,0,0,1285,1285,,0,FAIRFAX COUNTY
3,104 - CHAPEL,1504,0,0,1504,,4,FAIRFAX COUNTY
4,105 - FAIRVIEW,2834,0,0,2834,,22,FAIRFAX COUNTY
5,106 - HERITAGE,1928,0,0,1928,,11,FAIRFAX COUNTY
6,108 - KINGS PARK,1504,0,0,1504,,8,FAIRFAX COUNTY
7,109 - LITTLE RUN,892,0,0,892,,11,FAIRFAX COUNTY
8,110 - NORTH SPRINGFIELD,2437,0,0,2437,,11,FAIRFAX COUNTY
9,113 - CANTERBURY,2450,0,0,2450,,15,FAIRFAX COUNTY
10,114 - OLDE CREEK,1175,0,0,1175,,10,FAIRFAX COUNTY
11,115 - RAVENSWORTH,1110,0,0,1110,,1,FAIRFAX COUNTY
12,116 - WAKEFIELD,1481,0,0,1481,,2,FAIRFAX COUNTY
13,117 - WOODSON,1662,0,0,1662,,26,FAIRFAX COUNTY
14,118 - LAKE BRADDOCK,2411,0,0,2411,,16,FAIRFAX COUNTY
15,119 - LAUREL,2431,0,0,2431,,1,FAIRFAX COUNTY
16,120 - SIDEBURN,1950,0,0,1950,,12,FAIRFAX COUNTY
17,121 - VILLA,1180,0,0,1180,,6,FAIRFAX COUNTY
18,123 - ROBINSON,2431,0,0,2431,,19,FAIRFAX COUNTY
19,125 - SIGNAL HILL,1872,0,0,1872,,10,FAIRFAX COUNTY
20,126 - BONNIE BRAE,1466,0,0,1466,,5,FAIRFAX COUNTY
21,127 - BURKE CENTRE,2669,0,0,2669,,26,FAIRFAX COUNTY
22,128 - CARDINAL,1373,0,0,1373,,4,FAIRFAX COUNTY
23,129 - KEENE MILL,1069,0,0,1069,,4,FAIRFAX COUNTY
24,130 - TERRA CENTRE,1512,0,0,1512,,4,FAIRFAX COUNTY
25,131 - EAGLE VIEW,1978,0,0,1978,,29,FAIRFAX COUNTY
26,132 - MONUMENT,2189,0,0,2189,,12,FAIRFAX COUNTY
27,133 - DANBURY,451,0,0,451,,0,FAIRFAX COUNTY
28,134 - UNIVERSITY,1695,0,0,1695,,0,FAIRFAX COUNTY
29,201 - Armstrong,2326,0,0,2326,,2,FAIRFAX COUNTY
30,202 - FLINT HILL,1866,0,0,1866,,4,FAIRFAX COUNTY
31,203 - FLORIS,2296,0,0,2296,,6,FAIRFAX COUNTY
32,204 - MADISON,523,0,0,523,,3,FAIRFAX COUNTY
33,208 - RESTON #1,2117,0,0,2117,,6,FAIRFAX COUNTY
34,209 - RESTON #2,1918,0,0,1918,,15,FAIRFAX COUNTY
35,213 - VIENNA #1,2447,0,0,2447,,6,FAIRFAX COUNTY
36,214 - VIENNA #2,1927,0,0,1927,,7,FAIRFAX COUNTY
37,216 - VIENNA #4,979,0,0,979,,3,FAIRFAX COUNTY
38,218 - VIENNA #6,1371,0,0,1371,,6,FAIRFAX COUNTY
39,219 - WESTBRIAR,2127,0,0,2127,,3,FAIRFAX COUNTY
40,220 - DOGWOOD,2450,0,0,2450,,0,FAIRFAX COUNTY
41,221 - HUNTERS WOODS,1742,0,0,1742,,9,FAIRFAX COUNTY
42,222 - RESTON #3,1379,0,0,1379,,2,FAIRFAX COUNTY
43,223 - GLADE,2351,0,0,2351,,5,FAIRFAX COUNTY
44,224 - SOUTH LAKES,2872,0,0,2872,,14,FAIRFAX COUNTY
45,225 - HUGHES,2290,0,0,2290,,4,FAIRFAX COUNTY
46,226 - WOLFTRAP,2174,0,0,2174,,10,FAIRFAX COUNTY
47,227 - SUNRISE VALLEY,1115,0,0,1115,,6,FAIRFAX COUNTY
48,229 - FOX MILL,2917,0,0,2917,,9,FAIRFAX COUNTY
49,233 - NORTH POINT,2080,0,0,2080,,7,FAIRFAX COUNTY
50,234 - ALDRIN,1749,0,0,1749,,4,FAIRFAX COUNTY
51,235 - FRYING PAN,1713,0,0,1713,,0,FAIRFAX COUNTY
52,236 - STUART,882,0,0,882,,2,FAIRFAX COUNTY
